id,match_id,event_id,minute,second,team_id,expanded_minute,player_id,x,y,end_x,end_y,qualifiers,satisfied_events_types,is_touch,blocked_x,blocked_y,goal_mouth_z,goal_mouth_y,is_shot,related_event_id,related_player_id,card_type,is_goal,type,outcome_type,period,shirt_no,name,position,is_first_eleven
2780415589,1835055,102,16,9,78,16,343559,74.2,91.5,43.8,84.9,"[{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""84.9""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""43.8""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""3.28""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":1,""displayName"":""Longball""}},{""type"":{""value"":212,""displayName"":""Length""},""value"":""32.2""}]","[91,117,127,35,38,216,218]",true,,,,,false,,,false,false,Pass,Successful,FirstHalf,3,Tommaso Augello,DL,true
2780415623,1835055,103,16,14,78,16,255292,40.3,70.7,38.7,44.4,"[{""type"":{""value"":213,""displayName"":""Angle""},""value"":""4.62""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""44.4""},{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""38.7""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""18.0""}]","[91,117,30,35,38,216,218]",true,,,,,false,,,false,false,Pass,Successful,FirstHalf,6,Sebastiano Luperto,DC,true
2780415667,1835055,104,16,17,78,16,318432,38.8,44.4,54.7,33.8,"[{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""54.7""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""33.8""},{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":212,""displayName"":""Length""},""value"":""18.2""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""5.88""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""}]","[91,119,117,30,36,38,216,218]",true,,,,,false,,,false,false,Pass,Successful,FirstHalf,26,Yerry Mina,DC,true
2780415681,1835055,105,16,19,78,16,356176,49.3,32.7,39.2,31.1,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""31.1""},{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":212,""displayName"":""Length""},""value"":""10.7""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""39.2""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""3.24""}]","[91,117,30,35,38,216,218]",true,,,,,false,,,false,false,Pass,Successful,FirstHalf,8,Michel Adopo,MC,true
2780415707,1835055,106,16,22,78,16,318432,40.9,33,59,100,"[{""type"":{""value"":155,""displayName"":""Chipped""}},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""59.0""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""50.6""},{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Left""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""100.0""},{""type"":{""value"":1,""displayName"":""Longball""}},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""1.19""}]","[91,120,124,128,36,37,216,218]",true,,,,,false,,,false,false,Pass,Unsuccessful,FirstHalf,26,Yerry Mina,DC,true
2780415811,1835055,178,15,54,87,15,273539,12.7,46.6,,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":21,""displayName"":""OtherBodyPart""}},{""type"":{""value"":178,""displayName"":""StandingSave""}}]",[91],true,,,,,false,,,false,false,BallTouch,Successful,FirstHalf,5,Manuel Locatelli,DMC,true
2780415877,1835055,179,16,42,87,16,353991,43.8,0,58.3,22.5,"[{""type"":{""value"":213,""displayName"":""Angle""},""value"":""0.81""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""22.5""},{""type"":{""value"":1,""displayName"":""Longball""}},{""type"":{""value"":212,""displayName"":""Length""},""value"":""22.1""},{""type"":{""value"":107,""displayName"":""ThrowIn""}},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""58.3""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""}]","[91,212,36,37,216]",true,,,,,false,,,false,false,Pass,Successful,FirstHalf,22,Timothy Weah,DR,true
2780415903,1835055,180,16,44,87,16,338275,56.4,17.3,64.1,3.5,"[{""type"":{""value"":213,""displayName"":""Angle""},""value"":""5.42""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""3.5""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Right""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""64.1""},{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":212,""displayName"":""Length""},""value"":""12.4""}]","[91,119,117,30,36,38,216,218]",true,,,,,false,,,false,false,Pass,Successful,FirstHalf,16,Weston McKennie,AMC,true
2780415915,1835055,181,16,47,87,16,343308,65.4,3.4,74.7,3.1,"[{""type"":{""value"":213,""displayName"":""Angle""},""value"":""6.26""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""74.7""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""9.8""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Right""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""3.1""},{""type"":{""value"":178,""displayName"":""StandingSave""}}]","[91,119,117,30,205,36,38,217,218]",true,,,,,false,,,false,false,Pass,Successful,FirstHalf,8,Teun Koopmeiners,DMC,true
2780415939,1835055,109,16,48,78,16,356176,30.6,74,,,"[{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""183""},{""type"":{""value"":285,""displayName"":""Defensive""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":178,""displayName"":""StandingSave""}}]","[91,142]",true,,,,,false,,,false,false,Tackle,Unsuccessful,FirstHalf,8,Michel Adopo,MC,true
